study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB41184	SAMEA8698069	ERX5530590	ERR5888700	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR588/000/ERR5888700/ERR5888700.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR588/ERR5888700/nc3_2hrs.fastq.gz	
PRJEB41184	SAMEA8698070	ERX5530591	ERR5888701	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR588/001/ERR5888701/ERR5888701.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR588/ERR5888701/nc5_2hrs.fastq.gz	
PRJEB41184	SAMEA8698079	ERX5530592	ERR5888702	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR588/002/ERR5888702/ERR5888702.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR588/ERR5888702/nc6_2hrs.fastq.gz	
PRJEB41184	SAMEA8698071	ERX5530593	ERR5888703	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR588/003/ERR5888703/ERR5888703.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR588/ERR5888703/nc7_2hrs.fastq.gz	
PRJEB41184	SAMEA8698072	ERX5530594	ERR5888704	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR588/004/ERR5888704/ERR5888704.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR588/ERR5888704/nc8_2hrs.fastq.gz	
PRJEB41184	SAMEA8698073	ERX5530595	ERR5888705	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR588/005/ERR5888705/ERR5888705.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR588/ERR5888705/nc10_2hrs.fastq.gz	
PRJEB41184	SAMEA8698074	ERX5530596	ERR5888706	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR588/006/ERR5888706/ERR5888706.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR588/ERR5888706/nc11_2hrs.fastq.gz	
PRJEB41184	SAMEA8698075	ERX5530597	ERR5888707	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR588/007/ERR5888707/ERR5888707.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR588/ERR5888707/nc13_2hrs.fastq.gz	
PRJEB41184	SAMEA8698076	ERX5530598	ERR5888708	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR588/008/ERR5888708/ERR5888708.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR588/ERR5888708/nc14_2hrs.fastq.gz	
PRJEB41184	SAMEA8698077	ERX5530599	ERR5888709	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR588/009/ERR5888709/ERR5888709.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR588/ERR5888709/nc15_2hrs.fastq.gz	
